ntacode,nta_name,borough_code,borough_name,ntatype,ntaabbrev,ntatype_label,is_residential,nta_short
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,4,Queens,9,JcbRsPk,Park/Recreation,False,QN-QN8492
SI0101,St. George-New Brighton,5,Staten Island,0,StGrg,Residential/Mixed,True,SI-SI0101
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,5,Staten Island,0,Tkvl_Stptn,Residential/Mixed,True,SI-SI0102
SI0103,Rosebank-Shore Acres-Park Hill,5,Staten Island,0,Rsbnk_PkHl,Residential/Mixed,True,SI-SI0103
SI0104,West New Brighton-Silver Lake-Grymes Hill,5,Staten Island,0,WstNwBrgtn,Residential/Mixed,True,SI-SI0104
SI0105,Westerleigh-Castleton Corners,5,Staten Island,0,Wstrlgh,Residential/Mixed,True,SI-SI0105
SI0106,Port Richmond,5,Staten Island,0,PrtRchmnd,Residential/Mixed,True,SI-SI0106
SI0107,Mariner's Harbor-Arlington-Graniteville,5,Staten Island,0,MrnrsHrbr,Residential/Mixed,True,SI-SI0107
SI0191,Snug Harbor,5,Staten Island,9,SngHrbr,Park/Recreation,False,SI-SI0191
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,5,Staten Island,0,Grsmr_SBch,Residential/Mixed,True,SI-SI0201
SI0202,New Dorp-Midland Beach,5,Staten Island,0,NwDrp_MBch,Residential/Mixed,True,SI-SI0202
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,5,Staten Island,0,TdtHl,Residential/Mixed,True,SI-SI0203
SI0204,New Springville-Willowbrook-Bulls Head-Travis,5,Staten Island,0,NwSprngvl,Residential/Mixed,True,SI-SI0204
SI0291,Freshkills Park (North),5,Staten Island,9,FrshklPk_N,Park/Recreation,False,SI-SI0291
SI0301,Oakwood-Richmondtown,5,Staten Island,0,Okwd_Rmtwn,Residential/Mixed,True,SI-SI0301
SI0302,Great Kills-Eltingville,5,Staten Island,0,GrtKls_Evl,Residential/Mixed,True,SI-SI0302
SI0303,Arden Heights-Rossville,5,Staten Island,0,ArdnHts,Residential/Mixed,True,SI-SI0303
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,5,Staten Island,0,Anndl_Wdrw,Residential/Mixed,True,SI-SI0304
SI0305,Tottenville-Charleston,5,Staten Island,0,Tttnvl,Residential/Mixed,True,SI-SI0305
SI0391,Freshkills Park (South),5,Staten Island,9,FrshklPK_S,Park/Recreation,False,SI-SI0391
SI9561,Fort Wadsworth,5,Staten Island,6,FtWdswrth,Industrial/Transportation,False,SI-SI9561
SI9591,Hoffman & Swinburne Islands,5,Staten Island,9,HffmnIsl,Park/Recreation,False,SI-SI9591
SI9592,Miller Field,5,Staten Island,9,MllrFld,Park/Recreation,False,SI-SI9592
SI9593,Great Kills Park,5,Staten Island,9,GrtKlsPk,Park/Recreation,False,SI-SI9593
